Rank,Name,Address,Tuition,Enrollment,link
#1,Princeton University,"Princeton, NJ","$51,870","5,428",https://www.usnews.com//best-colleges/princeton-university-2627
#2,Harvard University,"Cambridge, MA","$51,925","6,788",https://www.usnews.com//best-colleges/harvard-university-2155
#3,Columbia University,"New York, NY","$61,850","6,202",https://www.usnews.com//best-colleges/columbia-university-2707
#3,Massachusetts Institute of Technology,"Cambridge, MA","$53,790","4,602",https://www.usnews.com//best-colleges/massachusetts-institute-of-technology-2178
#3,Yale University,"New Haven, CT","$55,500","5,964",https://www.usnews.com//best-colleges/yale-university-1426
#6,Stanford University,"Stanford, CA","$53,529","7,087",https://www.usnews.com//best-colleges/stanford-university-1305
#6,University of Chicago,"Chicago, IL","$59,298","6,552",https://www.usnews.com//best-colleges/university-of-chicago-1774
#6,University of Pennsylvania,"Philadelphia, PA","$57,770","10,183",https://www.usnews.com//best-colleges/university-of-pennsylvania-3378
#9,Northwestern University,"Evanston, IL","$56,691","8,231",https://www.usnews.com//best-colleges/northwestern-university-1739
#10,Duke University,"Durham, NC","$58,198","6,682",https://www.usnews.com//best-colleges/duke-university-2920
